video_id,song_title,channel_name,original_title,audio_file,youtube_link
flPrf7m2zSI,PAU_VALLVÉ_CONCERT_2018_Un_gran_riu_de_fang_(Live),Pau Vallvé,PAU VALLVÉ - CONCERT 2018 - Un gran riu de fang (Live),flPrf7m2zSI.mp3,https://www.youtube.com/watch?v=flPrf7m2zSI
-3Zak3Wc9WU,PAU_VALLVÉ_PER_QUÈ_COLLONS_HAS_TRIGAT_TANT_(AMB_BANDA)_Videoclip,Pau Vallvé,PAU VALLVÉ - PER QUÈ COLLONS HAS TRIGAT TANT? (AMB BANDA) Videoclip,-3Zak3Wc9WU.mp3,https://www.youtube.com/watch?v=-3Zak3Wc9WU
QSAObq9gwVQ,PAU_VALLVÉ_O_NOMÉS_SÓC_JO_(Videoclip),Pau Vallvé,PAU VALLVÉ - O NOMÉS SÓC JO (Videoclip),QSAObq9gwVQ.mp3,https://www.youtube.com/watch?v=QSAObq9gwVQ
p3McpS7v7-4,"PAU_VALLVÉ_Signat,_el_teu_padrí",Pau Vallvé,"PAU VALLVÉ - Signat, el teu padrí",p3McpS7v7-4.mp3,https://www.youtube.com/watch?v=p3McpS7v7-4
N-qcK-08yMM,PAU_VALLVÉ_PER_SEMPRE,Pau Vallvé,PAU VALLVÉ - PER SEMPRE,N-qcK-08yMM.mp3,https://www.youtube.com/watch?v=N-qcK-08yMM
XZBjUGBPcOU,PAU_VALLVÉ_DIGUEM_BLAT!_(Videoclip),Pau Vallvé,PAU VALLVÉ - DIGUEM BLAT! (Videoclip),XZBjUGBPcOU.mp3,https://www.youtube.com/watch?v=XZBjUGBPcOU
TEyXWzXQGKE,PAU_VALLVÉ_Tothom_vol_ser_feliç_(Lyric_video),Pau Vallvé,PAU VALLVÉ - Tothom vol ser feliç (Lyric video),TEyXWzXQGKE.mp3,https://www.youtube.com/watch?v=TEyXWzXQGKE
5lOTUOIQAko,Un_gran_riu_de_fang_(Costa-Roja_Sessions),Pau Vallvé,Un gran riu de fang (Costa-Roja Sessions),5lOTUOIQAko.mp3,https://www.youtube.com/watch?v=5lOTUOIQAko
AidqOLYsDSE,PAU_VALLVÉ_ANTIHEROIS_(videoclip),Pau Vallvé,PAU VALLVÉ - ANTIHEROIS (videoclip),AidqOLYsDSE.mp3,https://www.youtube.com/watch?v=AidqOLYsDSE
snzOWjkdGlk,PAU_VALLVÉ_Vaga_General,Pau Vallvé,PAU VALLVÉ | Vaga General,snzOWjkdGlk.mp3,https://www.youtube.com/watch?v=snzOWjkdGlk
Kbu6NlGySO0,Pau_Vallvé_'I_jo_pensant_en_quan_vindràs'_a_Manresa,Nais Manresa,Pau Vallvé - 'I jo pensant en quan vindràs' a Manresa,Kbu6NlGySO0.mp3,https://www.youtube.com/watch?v=Kbu6NlGySO0
NcPzE-xoNFU,PAU_VALLVÉ_Èpoques_glorioses_(audio_+_subs),Pau Vallvé,PAU VALLVÉ - Èpoques glorioses (audio + subs),NcPzE-xoNFU.mp3,https://www.youtube.com/watch?v=NcPzE-xoNFU
